"description","format rule"
"Electronic publication (EPUB)","application/epub+zip"
"GZip Compressed Archive","application/gzip"
"JSON format (.json)","application/json"
"JSON-LD format","application/ld+json"
"Microsoft word","application/msword"
".bin data","application/octet-stream"
"Adobe Portable Document Format (PDF)","application/pdf"
"Microsoft Excel (.xls)","application/vnd.ms-excel"
"Microsoft Excel (OpenXML) (.xlsx)","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet"
"Microsoft Word (OpenXML)","application/vnd.openxmlformats-officedocument.wordprocessingml.document"
"C-shell script","application/x-csh"
"HXTML (.xhtml)","application/xhtml+xml"
"ZIP archive (.zip)","application/zip"
"AAC audio (.aac)","audio/aac"
"mpeg audio (.mp3)","audio/mpeg"
"ogg audio","audio/ogg"
"Waveform audio format (.wav)","audio/wav"
"Windows Bitmap graphics","image/bmp"
"Graphics Interchange Format (GIF)","image/gif"
"JPEG images","image/jpg"
"Portable Network Graphics images (.png)","image/png"
"Scalable Vector Graphics (SVG)","image/svg+xml"
"Tagged Image File Format (TIFF)","image/tiff"
"iCalendar format","text/calendar"
"comma-separated values (CSV)","text/csv"
"JavaScript (.js)","text/javascript"
"markdown text","text/markdown"
"Plain text (.txt)","text/plain"
"Microsoft Word (OpenXML) (.docx)","text/xml"
"MP4 video","video/mp4"
"raw video","video/raw"
